x
Q10345051|P625|@-18.246914,-43.5942
Q17167639|P625|@-22.9016929,-43.1261265
Q10333515|P625|@-22.7224857315952,-47.6476728916168
Q30934903|P625|@-23.552486,-46.637846
Q18476664|P625|@-21.172287,-47.845183
Q1474721|P625|@-22.462631,-44.592711
Q56694118|P625|@-21.469826,-47.00195
Q56693372|P625|@-27.08236,-52.623075
Q56693440|P625|@-23.567483,-46.669895
Q10333454|P625|@-30.06544,-51.235833
Q56694779|P625|@-22.41409,-54.234011
Q56694061|P625|@-23.6707824190422,-46.8860757350922
Q56693692|P625|@-3.7503765,-38.5027979
Q56693700|P625|@-16.432745,-39.062483
Q56693706|P625|@-1.4383229,-48.4879291
Q56695546|P625|@-23.529997,-46.787452
Q56695557|P625|@-20.815623,-49.511118
Q56695557|P625|@-20.815623,-49.511118
Q59616806|P625|@-26.253981,-49.381628
Q56692459|P625|@-22.737057,-45.618006
Q56694361|P625|@-7.13762178325875,-35.8414149284363
Q56694363|P625|@-30.06544,-51.235833
Q56693239|P625|@-25.873929,-50.384008
Q56694850|P625|@-27.0577677973389,-49.5160679390427
Q56694892|P625|@-8.0373797,-34.9098813
Q10333803|P625|@-26.298561,-48.855593
Q56695008|P625|@-25.594229,-49.391367
Q56694511|P625|@-23.0377099,-49.7079886
Q56694587|P625|@-23.267221,-51.047512
Q56693534|P625|@-9.13379179886463,-36.1465644836426
Q56695467|P625|@-29.3737313,-50.8646966
Q56695467|P625|@-29.3737313,-50.8646966
Q56694926|P625|@-23.4452914,-46.9142413
Q56693295|P625|@-6.758757,-38.230429
Q56695108|P625|@-25.382993,-49.268018
Q56695144|P625|@-4.4126755,-39.0474659
Q56693747|P625|@-9.974047,-67.809857
Q56693817|P625|@-25.521573,-48.507129
Q56693827|P625|@-27.4595122,-48.3813544
Q10333599|P625|@-32.035375,-52.107587
